pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year,habitable_candidate
HD 3167 b,0.01796,1.67,0.0,1650.0,5261.0,0.88,0.837,,47.2899,1,4,2016,0
TIC 139270665 b,0.163,7.22979255,0.105,40.3,5844.0,1.016,1.035,0.03222,189.875,1,2,2024,0
TOI-4087 b,0.04469,13.04725353,0.0,753.9,6060.0,1.112,1.178,0.17609,301.676,1,1,2023,0
Kepler-323 c,0.0458,1.57,0.095,700.0,6004.0,1.12,1.015,,454.883,1,2,2014,0
WASP-2 b,0.03144,12.116929,,492.0,5180.0,0.866,0.895,-0.31336,153.242,2,1,2007,0
KELT-20 b,0.0542,19.514869,,4362.5,8720.0,1.565,1.76,1.1038,136.426,1,1,2017,0
Kepler-784 c,0.1309,1.55,0.0,119.87,5676.0,1.487,1.016,,1303.72,1,2,2023,0
WASP-197 b,0.065,14.44837612,0.0,1276.0,6050.0,2.112,1.36,,483.675,1,1,2025,0
WASP-170 b,0.0337,12.285064,,680.0,5600.0,0.938,0.93,-0.11351,305.603,1,1,2018,0
K2-266 c,0.0679,0.705,0.042,32.4,4285.0,0.703,0.686,-0.82333,77.5586,2,4,2018,0
K2-72 c,0.078,1.16,0.11,2.2,3360.47,0.330989,0.271365,,66.4321,1,4,2016,0
K2-413 b,0.0117,0.7599,,921.755,4116.0,0.7,0.808,,285.162,1,2,2022,0
Kepler-138 c,0.0913,1.51,0.017,6.8,3841.0,0.535,0.535,-1.25181,66.8624,1,4,2014,0
EPIC 249893012 b,0.047,1.95,0.06,1037.0,5430.0,1.71,1.05,,321.296,1,3,2020,0
K2-68 b,0.0708,1.58,,41.0,4746.0,0.675,0.73,,168.652,1,1,2016,0
Kepler-1921 c,0.0454,1.41,0.0,2436.47,6120.0,2.0,1.251,,928.989,1,2,2023,0
HD 191939 b,0.0804,3.41,0.031,100.0,5348.0,0.94,0.81,-0.18709,53.6089,1,6,2020,0
Kepler-26 c,,2.72,,4.82,3914.0,0.512,0.544,,335.307,1,4,2011,0
TRAPPIST-1 b,0.01154,1.116,,4.153,2566.0,0.1192,0.0898,-3.25727,,1,7,2016,0
TRAPPIST-1 d,0.02227,0.788,,1.115,2566.0,0.1192,0.0898,-3.25727,,1,7,2016,0
TRAPPIST-1 f,0.03849,1.045,,0.373,2566.0,0.1192,0.0898,-3.25727,,1,7,2017,0
TRAPPIST-1 g,0.04683,1.129,,0.252,2566.0,0.1192,0.0898,-3.25727,,1,7,2017,0
Kepler-102 f,0.1656,0.861,0.1,10.0,4909.0,0.724,0.803,,107.796,1,5,2014,0
Kepler-58 e,0.0533,1.61,0.0,511.6,6100.0,1.083,1.017,,969.252,1,4,2023,0
L 98-59 b,0.0223,0.837,0.031,24.5,3415.0,0.3155,0.2923,-1.91364,10.6194,1,5,2019,0
Kepler-138 b,0.0753,0.64,0.02,9.9,3841.0,0.535,0.535,-1.25181,66.8624,1,4,2014,0
Kepler-725 b,0.2238,10.8,0.231,12.1,5395.0,0.88,0.95,,758.469,1,2,2016,0
TOI-4638.01,0.093013,2.933,,87.81,5700.0,0.895,1.02,,168.248,1,1,2024,0
Kepler-1998 b,0.0405,0.6,0.0,468.31,5640.0,0.921,0.962,,340.965,1,1,2023,0
Kepler-2000 b,0.0562,2.73,0.0,18.73,3757.0,0.576,0.581,,320.588,1,2,2023,0
HAT-P-32 b,0.03397,22.19382,0.159,1841.0,6001.0,1.367,1.132,0.33806,289.205,2,1,2011,0
LHS 1678 c,0.0327,0.941,0.039,13.5,3490.0,0.329,0.345,-1.83863,19.8782,2,3,2021,0
Kepler-1985 b,0.0426,2.27,0.0,382.68,5370.0,0.966,0.877,,,1,1,2023,0
TOI-1744.01,0.164086,2.68,,63.31,6179.0,1.14,1.18,,114.39,1,1,2024,0
Kepler-186 f,0.432,1.17,0.04,0.3,3755.0,0.523,0.544,-1.26,177.594,1,5,2014,0
K2-415 b,0.027,1.015,,4.82,3173.0,0.1965,0.1635,-2.45469,21.8182,1,1,2023,0
Kepler-307 c,,2.2,,44.0,5367.0,0.814,0.907,,575.581,1,2,2013,0
L 98-59 c,0.0309,1.329,0.002,12.7,3415.0,0.3155,0.2923,-1.91364,10.6194,1,5,2019,0
Kepler-164 e,0.4025,4.24,0.0,7.99,5888.0,1.097,0.966,,890.758,1,4,2023,0
TOI-5386 A b,0.04856,14.70618268,0.072,817.0,6094.0,1.245,1.165,0.28488,394.486,2,1,2025,0
Kepler-36 c,,3.679,0.0,191.0,5979.0,1.634,1.034,,527.956,1,2,2012,0
GJ 1214 b,0.01505,2.733,0.0062,17.2,3101.0,0.2162,0.182,-2.40894,14.6427,1,1,2009,0
TOI-6002 b,0.05722,1.65,0.15,1.6823,3229.0,0.2432,0.2101,-2.23508,32.0266,1,1,2024,1
K2-65 b,0.1014,1.58,,45.0,5213.0,0.84,0.87,,,1,1,2016,0
Kepler-26 b,,2.78,,7.6,3914.0,0.512,0.544,,335.307,1,4,2011,0
K2-411 b,0.0511,0.9898,,619.038,5711.0,1.375,1.018,,298.219,1,1,2022,0
HD 135694 b,0.124695,2.857,,71.8,5712.0,1.08,1.02,,73.8713,1,1,2023,0
K2-21 c,0.107,2.49,0.21,5.1,4222.06,0.646783,0.676023,,83.6448,1,2,2015,0
Kepler-19 b,0.0846,2.209,0.41,87.6,5541.0,0.859,0.936,,218.562,1,3,2011,0
TOI-169 b,0.03524,12.172974,0.0,1443.0,5880.0,1.288,1.147,0.25261,407.84,1,1,2020,0
Wolf 327 b,0.01,1.24,0.0,233.9,3542.0,0.406,0.405,-1.62986,28.5321,1,1,2024,0
HATS-65 b,0.04497,16.824709,0.062,1178.0,6277.0,1.31,1.257,0.37658,493.32,2,1,2018,0
K2-131 b,0.00936,1.69,0.0,4070.0,5120.0,0.7595,0.803,,152.509,1,1,2017,0
TOI-5720 b,0.018288,1.09,,41.7,3325.0,0.383,0.383,-1.79183,35.8256,1,1,2024,0
TOI-1452 b,0.061,1.672,0.0,1.8,3185.0,0.275,0.249,-2.1549,30.5212,2,1,2022,0
K2-3 b,0.0747,2.078,0.107,10.5,3844.0,0.546,0.549,-1.23136,44.0727,1,3,2015,0
HD 207496 b,0.0629,2.25,0.231,72.9,4819.0,0.769,0.8,,23.606,1,1,2023,0
WASP-45 b,0.03963,10.603714,,294.0,5150.0,0.855,0.85,-0.33555,211.196,2,1,2011,0
TOI-1789 b,0.04882,16.14093221,,2300.0,5991.0,2.168,1.507,0.7364,229.067,1,1,2021,0
EPIC 249893012 c,0.13,3.67,0.07,160.0,5430.0,1.71,1.05,,321.296,1,3,2020,0
TOI-2193 A b,0.03319,19.83989584,0.0,1600.0,5966.0,1.248,1.082,0.25018,337.064,2,1,2022,0
GJ 367 b,0.00709,0.699,0.06,579.0,3522.0,0.458,0.455,-1.5391,9.41263,1,3,2021,0
Kepler-438 b,0.166,1.12,0.03,1.4,3748.0,0.52,0.544,-1.357,,1,1,2015,1
TOI-2096 b,0.025,1.243,0.15,9.4,3300.0,0.235,0.231,-2.22768,48.4809,1,2,2023,0
TOI-1899 b,0.1525,11.09689089,0.044,3.4,3926.0,0.607,0.632,,128.438,1,1,2020,0
TOI-4137 b,0.05222,13.57407563,0.0,1013.0,6202.0,1.438,1.313,0.43933,334.993,1,1,2022,0
Kepler-1859 c,0.0473,1.66,0.0,732.82,5887.0,1.235,1.09,,1331.25,1,2,2023,0
Kepler-1610 c,0.2323,2.09,0.0,8.34,5295.0,0.8,0.825,,864.331,1,2,2023,0
TOI-3976 A b,0.0743,12.27383387,0.0,469.0,5975.0,1.501,1.254,0.41296,516.087,2,1,2023,0
KOI-4777.01,0.008,0.51,0.0,320.0,3515.0,0.4,0.41,,172.245,1,1,2022,0
HD 110113 b,0.035,2.05,0.093,735.49,5732.0,0.968,0.997,,106.307,1,2,2021,0
Kepler-107 c,0.06064,1.597,0.08,602.0,5854.0,1.447,1.238,,525.997,1,4,2014,0
WASP-149 b,0.024,15.24421375,0.0,1966.0,5750.0,1.08,1.05,,211.73,1,1,2025,0
TIC 393818343 b,0.1291,12.18416202,0.6058,2.28,5756.0,1.086,1.082,0.06744,93.7345,2,1,2024,0
HD 219134 d,0.237,1.61,0.138,4.72,4699.0,0.778,0.81,-0.57741,6.53127,1,6,2015,0
HD 42813 b,0.111,3.41,,74.7,5289.0,0.98,0.901,,68.192,1,3,2023,0
TOI-837 b,0.0888,9.16894621,,164.0,5995.0,1.052,1.142,0.1271,142.488,1,1,2020,0
TOI-4860 b,0.01808,8.7,0.008,42.5,3260.0,0.358,0.34,,80.1423,1,1,2023,0
TOI-733 b,0.0618,1.992,0.046,207.1,5585.0,0.949,0.956,-0.08619,75.2092,1,1,2023,0
TOI-2169 A b,0.0896,12.50922246,0.045,577.0,6270.0,1.82,1.42,0.66558,351.487,2,1,2025,0
TOI-3486 b,0.03138,10.5700688,0.078,334.0,4930.0,0.788,0.837,-0.4828,154.715,1,1,2025,0
HD 101581 b,0.046,0.956,,80.0,4675.0,0.63,0.653,,12.7781,1,2,2025,0
TOI-4214 b,0.05018,10.68215861,0.17,1210.0,6370.0,1.434,1.382,0.48287,346.881,1,1,2025,0
LHS 1678 d,0.04,0.981,0.036,9.1,3490.0,0.329,0.345,-1.83863,19.8782,2,3,2024,0
TOI-125 d,0.137,2.93,0.168,26.7,5320.0,0.848,0.859,-0.28483,111.059,1,3,2020,0
TOI-2000 b,0.04271,2.7,0.0,628.0,5611.0,1.134,1.082,0.05956,175.713,1,2,2023,0
TOI-3856 b,0.0325,13.59649359,0.083,949.0,5622.0,1.055,1.096,0.00087,314.443,1,1,2025,0
TOI-700 e,0.134,0.953,0.059,1.27,3459.0,0.421,0.415,-1.64016,31.1265,1,4,2023,1
AU Mic b,0.0649,3.95677019,0.00577,21.2,3678.0,0.744,0.51,-1.0381,9.7221,1,3,2020,0
TOI-3877 b,0.0529,11.67975789,0.22,729.0,5731.0,1.445,1.16,0.3075,493.77,1,1,2025,0
TOI-4961 b,0.0726,12.34108775,0.182,115.0,5380.0,0.912,0.912,-0.20135,213.073,1,1,2025,0
TOI-3464 b,0.0515,13.7646283,0.25,1370.0,6370.0,1.56,1.363,0.55871,597.774,1,1,2025,0
TOI-125 c,0.0814,2.759,0.066,77.59,5320.0,0.848,0.859,-0.28483,111.059,1,3,2019,0
TOI-5592 b,0.03935,17.14974047,0.062,1712.0,6237.0,1.393,1.194,0.4216,597.026,1,1,2025,0
TOI-4734 b,0.074,10.9175472,0.12,775.0,6070.0,1.857,1.391,0.62428,563.068,1,1,2025,0
TOI-1759 b,0.1177,3.14,0.0,6.39,4065.0,0.597,0.606,-1.05715,40.0654,1,1,2022,0
Kepler-1487 c,0.2588,7.97,0.0,227.68,5745.0,3.955,1.801,,1014.62,1,2,2023,0
TOI-2986 b,0.04489,9.292245,0.14,1156.0,5906.0,1.458,1.122,0.36773,563.149,1,1,2025,0
TOI-4794 b,0.0492,14.35870428,0.1,1310.0,6390.0,1.451,1.25,0.49969,543.008,1,1,2025,0
TOI-663 d,0.0576,1.92,,12.9,3681.0,0.512,0.514,,64.2308,1,3,2024,0
TOI-5340 b,0.0628,15.07607904,0.13,1004.0,5990.0,1.842,1.35,0.5955,532.629,1,1,2025,0
TOI-1453 c,,2.224,0.0,75.3,4975.0,0.72,0.715,,78.7415,2,2,2025,0
TOI-3980 b,0.0494,14.4595851,0.16,1153.0,5840.0,1.626,1.24,0.44248,486.721,1,1,2025,0
TOI-132 b,0.026,3.42,0.059,860.0,5397.0,0.9,0.97,-0.22185,163.678,1,1,2020,0
TOI-3160 A b,0.0505,13.7646283,0.18,933.0,6190.0,1.346,1.088,0.3784,567.678,2,1,2025,0
TOI-2207 b,0.0854,11.1529358,0.174,406.0,6101.0,1.564,1.296,0.4843,373.345,1,1,2022,0
TOI-244 b,0.0559,1.52,,7.3,3433.0,0.426,0.428,-1.64264,22.0337,1,1,2023,0
TOI-2407 b,0.033,4.26,0.08,41.0,3530.0,0.567,0.548,-1.34872,92.4366,1,1,2025,0
TOI-2992 b,0.0434,13.75341932,0.089,1484.0,6000.0,1.545,1.21,0.4456,542.026,1,1,2025,0
TOI-1453 b,,1.173,0.0,132.6,4975.0,0.72,0.715,,78.7415,2,2,2025,0
TOI-1739 b,0.073872,1.946,,53.91,4814.0,0.781,0.78,,70.9819,1,1,2024,0
TOI-654.01,0.01944,2.378,0.0,65.0,3521.0,0.43,0.419,-1.60906,57.7553,1,1,2024,0
TOI-5210 b,0.0557,10.72699453,0.066,456.0,5723.0,1.209,1.105,0.15229,302.086,1,1,2025,0
LHS 1140 b,0.0946,1.73,0.043,0.43,3096.0,0.2159,0.1844,-2.42022,14.9861,1,2,2017,1
LHS 1140 c,0.027,1.272,0.05,5.3,3096.0,0.2159,0.1844,-2.42022,14.9861,1,2,2018,0
TOI-2969 b,0.0261,12.32987877,0.0,382.0,4738.0,0.7,0.71,-0.58503,163.996,1,1,2025,0
TOI-2989 b,0.0384,12.55405838,0.0,124.0,4672.0,0.76,0.77,-0.73755,195.795,1,1,2025,0
TOI-5300 b,0.0295,9.86390302,0.0,198.0,4610.0,0.65,0.67,-0.76195,162.51,1,1,2025,0
TOI-1468 b,0.02107,1.401,0.0099,36.4,3376.0,0.3714,0.3527,-1.7921,24.7399,1,2,2022,0
TOI-1468 c,0.08608,2.126,0.111,2.13,3376.0,0.3714,0.3527,-1.7921,24.7399,1,2,2022,0
NGTS-26 b,0.049,14.88552637,0.0,523.0,5550.0,1.16,0.96,0.10106,1093.69,1,1,2024,0
K2-62 c,0.1148,2.14,,20.5,4880.0,0.73,0.77,,112.467,1,2,2016,0
LP 791-18 d,0.01992,1.032,0.0015,5.83,2960.0,0.182,0.139,-2.63827,26.4927,1,3,2023,0
SPECULOOS-3 b,0.00733,0.977,,15.54,2800.0,0.123,0.1009,-3.07831,,1,1,2024,0
TOI-1782.02,0.025739,1.839,,214.17,4336.0,0.669,0.68,,95.2649,1,2,2024,0
Kepler-1994 b,0.053,0.51,0.0,268.27,5495.0,0.961,0.932,,241.991,1,1,2023,0
HATS-69 b,0.03211,10.592505,0.519,466.6,5137.0,0.8785,0.892,-0.31758,414.537,1,1,2018,0
K2-84 b,0.0665,2.41,,178.0,5652.0,0.93,0.95,,284.876,1,2,2016,0
TOI-1295 b,0.047,15.69257298,0.024,1800.0,6280.0,1.7,1.38,0.58659,388.227,1,1,2024,0
TOI-771 b,0.0208,1.36,0.055,14.0,3370.0,0.232,0.22,-2.20343,25.2788,1,2,2024,0
Kepler-865 c,0.061,0.89,0.0,164.98,5440.0,0.885,0.782,,586.137,1,2,2023,0
K2-59 b,0.1354,2.41,,17.1,5055.0,0.731,0.774,,311.313,1,2,2016,0
WASP-154 b,0.044,10.76062147,0.0,162.0,4774.0,0.823,0.8,,215.501,1,1,2025,0
Kepler-290 d,0.0154,0.86,0.0,1503.79,5142.0,0.755,0.84,,694.627,1,3,2023,0
TOI-813 b,0.423,6.71,0.0,23.1,5907.0,1.94,1.32,,263.145,1,1,2020,0
LHS 3844 b,0.00622,1.303,,70.1,3036.0,0.189,0.151,-2.56543,14.8846,1,1,2019,0
K2-45 b,0.0224,6.71,,100.0,4103.0,0.445,0.503,,495.317,1,1,2016,0
Kepler-21 b,0.0434,1.639,0.0,2749.0,6305.0,1.902,1.408,,108.522,2,1,2012,0
TOI-5005 b,0.06614,6.25,,226.0,5749.0,0.93,0.97,,207.891,1,1,2024,0
NGTS-15 b,0.0441,12.32987877,0.0,425.0,5600.0,0.954,0.995,,786.485,1,1,2021,0
TOI-1260 b,0.0367,2.41,0.0,95.58,4227.0,0.672,0.679,-0.88941,73.5977,1,3,2021,0
HD 15906 b,0.09,2.24,0.11,33.14,4757.0,0.762,0.79,-0.56864,45.5621,1,2,2023,0
Qatar-5 b,0.04127,12.408363,0.0,669.0,5747.0,1.076,1.128,0.05614,367.658,1,1,2017,0
K2-35 b,0.031,1.32,0.13,211.0,4402.71,0.619575,0.701968,,252.596,1,2,2016,0
TOI-5713 b,0.06008,1.77,0.24,2.2554,3225.0,0.2992,0.2653,-2.05849,40.8668,1,1,2024,0
K2-118 b,0.245,2.54,0.2,4.3,4726.29,0.734626,0.756446,,321.722,1,1,2017,0
TOI-6383 A b,0.02292,11.29,0.05,51.3,3444.0,0.457,0.458,-1.48678,171.319,2,1,2024,0
HATS-60 b,0.04708,12.923977,0.191,903.9,5688.0,1.46,1.097,0.30016,486.474,1,1,2018,0
HATS-76 b,0.02658,12.09449018,0.062,129.8,4016.0,0.6259,0.662,-1.0381,385.689,1,1,2021,0
K2-79 b,0.0988,4.09,0.23,181.0,5897.0,1.265,1.066,,256.011,1,1,2016,0
TOI-2136 b,0.057,2.19,0.0,4.0,3342.0,0.34,0.34,-1.88606,33.3631,1,1,2022,0
K2-157 b,0.00962,0.935,,6660.0,5334.0,0.86,0.89,,298.373,1,3,2018,0
Kepler-296 b,0.079,1.61,0.33,6.5,3740.0,0.48,0.498,,,2,5,2014,0
WASP-155 b,0.043,13.45077684,0.0,771.0,5660.0,1.24,1.09,,399.63,1,1,2025,0
HAT-P-9 b,0.05287,15.614137,0.084,931.0,6350.0,1.338,1.281,0.4183,455.203,1,1,2008,0
TOI-500 b,0.01189,1.166,0.063,1138.0,4440.0,0.678,0.74,,47.3924,1,4,2022,0
EPIC 249893012 d,0.22,3.94,0.15,53.0,5430.0,1.71,1.05,,321.296,1,3,2020,0
TOI-6130 b,0.036,14.3474953,0.036,1150.0,6110.0,1.51,1.31,0.4609,220.882,1,1,2024,0
Kepler-1655 b,0.1029,2.213,0.19,129.1,6148.0,1.03,1.03,,213.26,1,1,2018,0
NGTS-12 b,0.0757,11.747032,0.0,416.0,5690.0,1.589,1.021,,446.442,1,1,2020,0
TOI-6038 A b,0.069,6.41,,716.0,6110.0,1.648,1.291,0.53275,179.147,2,1,2025,0
Kepler-1869 c,0.028,0.74,0.0,1056.84,5808.0,0.902,0.987,,113.025,1,2,2023,0
TOI-3714 b,0.027,11.32107051,0.03,54.0,3660.0,0.51,0.53,,112.71,2,1,2022,0
K2-111 b,0.0565,1.82,0.1,490.0,5775.0,1.25,0.84,,200.394,1,2,2017,0
Kepler-1991 c,0.1528,2.57,0.0,38.27,5478.0,1.053,0.914,,855.82,1,2,2023,0
Kepler-68 c,0.09008,0.979,0.099,204.0,5847.0,1.2564,1.057,,144.166,2,4,2013,0
HD 202772 A b,0.05208,17.317905,0.038,3440.0,6272.0,2.591,1.72,0.97128,161.498,2,1,2019,0
HATS-17 b,0.1308,8.709393,0.029,72.7,5846.0,1.091,1.131,0.09342,400.331,1,1,2016,0
TOI-1716.01,0.080496,3.143,,254.83,5879.0,1.24,1.07,,104.158,1,1,2024,0
TOI-1803 c,0.097,4.29,0.0,22.0,4687.0,0.715,0.756,-0.65365,119.24,1,2,2025,0
LP 791-18 b,0.00978,1.212,,24.14,2960.0,0.182,0.139,-2.63827,26.4927,1,3,2019,0
TOI-5126 c,0.1439,3.86,0.0,96.0,6150.0,1.241,1.24,0.29885,160.414,1,2,2023,0
Kepler-1996 b,0.1789,2.26,0.0,5.61,4580.0,0.675,0.748,,440.561,1,2,2023,0
TOI-4010 c,0.058,5.93,0.03,112.0,4960.0,0.83,0.88,,177.504,1,4,2023,0
HD 23472 d,0.04298,0.75,0.07,117.0,4684.0,0.71,0.67,-0.62525,39.0341,1,5,2022,0
TOI-2583 A b,0.0571,14.4595851,0.0,750.9,5936.0,1.477,1.215,0.38828,566.189,2,1,2023,0
Kepler-1986 b,0.1307,1.89,0.0,26.62,5549.0,0.732,0.776,,912.085,1,1,2023,0
HD 23472 c,0.1646,1.87,0.063,7.96,4684.0,0.71,0.67,-0.62525,39.0341,1,5,2019,0
TOI-2096 c,0.04,1.914,0.1,3.7,3300.0,0.235,0.231,-2.22768,48.4809,1,2,2023,0
K2-63 b,0.1627,3.22,,188.0,6771.0,1.63,1.4,,517.534,1,2,2016,0
K2-55 b,0.03486,3.82,,115.0,4456.0,0.63,0.696,,159.522,1,1,2016,0
HATS-48 A b,0.03769,8.9672,0.162,137.6,4546.0,0.7152,0.7279,-0.70885,263.609,2,1,2020,0
